"ToxPi Score","HClust Group","KMeans Group","Name","Source","A375!2!0x669999ff","CM!12!0x6680e6ff","ENDO!4!0x8066ccff","HEP!4!0x996699ff","HEPARG!1!0xb36680ff","HEPG2!2!0xff6666ff","HLMVEC!2!0xff9966ff","HUVEC!5!0xffb366ff","LN229!2!0xffcc66ff","MCF7!2!0xffff4dff","NEUR!4!0xcccc66ff","SH-SY5Y!2!0x669966ff"
"0.8409487355224986","2","4","195_UDAE","UDAE","0.4955759232825817","1.0","0.9932634253825483","0.9784972796350649","0.8848587","0.96300785","0.7699223529381644","0.9762332629302857","0.0","0.7908384489284326","0.9070224767311752","0.0"
"0.7941006232406422","2","4","102_CGO","CGO","0.28003989183948647","0.9437087520125268","0.8877956007346729","0.7758898753692175","0.0","0.8682536000000001","0.8284642398339365","0.9721532056421821","0.7064162237998133","0.6674483951313088","0.9527421295302725","0.0"
"0.7729007071127706","2","4","034_HFO","HFO","0.0","0.9934660388821442","0.9975836950463608","0.9221401474130098","0.0","0.4908889","0.44862889079420737","0.9924503268224346","0.5168798390670666","0.4931474842392138","1.0","0.0"
"0.7720152329445482","4","4","058_HFO","HFO","0.5006844045755316","0.9272365929266291","0.9560164196599501","0.9784982007829651","0.0","0.7810759","0.2730681786904957","0.9468469362905229","0.0","0.9965390820398886","0.9306930936788421","0.0"
"0.7618411028137727","2","4","008_HFO","HFO","0.0","0.9932698551678544","1.0","0.9917441163081002","0.0","0.26155665","0.4654798328147048","1.0","0.41679774022573945","0.49946709877432716","0.9561272368255653","0.0"
"0.7583484717813598","2","4","089_UDAE","UDAE","0.0","0.9927401515720774","0.9204647012404964","0.9717272226066225","0.0","0.320677","0.659977817668383","0.9695668316445756","0.0","0.516159572167016","0.9731948694209883","0.3173719424930388"
"0.7581566790614401","2","4","134_HFO","HFO","0.4773637650259871","0.996984271309339","0.99413468159123","0.983189574319208","0.0","0.0","0.44947073205194793","0.9910308991824133","0.5218404209773081","0.0","0.9030411627533925","0.2524016290952729"
"0.7549183806380821","4","4","171_SRGO","SRGO","0.49541125150003823","0.8426307875383346","0.9394945618101944","0.9740463055663374","0.0","0.49283805","0.7325867336627208","0.8700795497101946","0.0","0.6262155352957312","0.9807198073011918","0.4867294740802932"
"0.7541620586997899","4","4","164_HFO","HFO","0.0","0.8899708182925888","0.9065710114714721","0.9785181514370721","0.9942471","1.0","0.3185109544077345","0.7698649607381547","0.5216873597634685","0.499998549996665","0.6963282230470315","0.5727607350156482"
"0.7530031487931524","4","3","182_VHGO","VHGO","0.4921131080792293","0.7987461730912103","0.8228166724888887","0.8703585707379586","0.0","0.97437905","0.8055539020036888","0.8528046395397155","0.521803629925226","0.9114905764283259","0.6120636010811638","0.572759532207159"
"0.750407118884066","4","4","172_SRGO","SRGO","0.4930037780855413","0.8369723928323234","0.8522384028767103","0.8787741477506281","0.0","0.9504804","0.718677730448856","0.8883446492225237","0.0","0.6032472074685771","0.9722372811181207","0.3439447370212454"
"0.7502232474340055","2","4","106_CGO","CGO","0.42258585682740074","0.9903911263246468","0.9982792779078699","0.9882471267968715","0.0","0.49436595","0.4981873904455213","0.9919276805087769","0.0","0.03692787993412385","0.9537011751388805","0.0"
"0.7476704218173326","2","4","129_HFO","HFO","0.44194140218723993","0.9914602111168156","0.9058780791290558","0.9796269744128846","0.0","0.3059444","0.8129673217612439","0.9845833923043101","0.0","0.49120002976006844","0.7338979249549409","0.0"
"0.7414037872230891","4","4","130_CGO","CGO","0.0","0.9885214828313943","0.7913036825369301","0.9007524748972663","0.0","0.43087285","0.8265333346455067","0.7576790270839991","0.5218588947821834","0.6404530580420335","0.6838993305376537","0.5725239535730815"
"0.730816260271254","4","4","176_VHGO","VHGO","0.4739121683382338","0.8727219287594236","0.890666750056075","0.9731656806235616","0.7395745","0.44263455","0.7071203680278384","0.9109338578506238","0.0","0.610858049973515","0.7507490004071873","0.0"
"0.7288821098738586","2","4","021_HFO","HFO","0.0","0.9918864627595377","0.9475231370565328","0.9953719314723043","0.0","0.0","0.0","0.9833065813823119","0.18946849089053552","0.8562890444648023","0.982695702462506","0.0"
"0.7273868196464383","2","4","135_TDAE","TDAE","0.0","0.9515009525542052","0.8620611246911986","0.9733717182542502","0.0","0.0","0.7674643930941912","0.9741955277417078","0.0","0.7228515575585823","0.8708227202441959","0.2278016008636394"
"0.7266050955744249","4","4","096A_UDAE","UDAE","0.38193761894318473","0.9059512190577533","0.6423924227571836","0.9725304409242292","0.0","0.96102905","0.27734405379014887","0.9654684468307111","0.3132367734341258","0.3218326002149805","0.9620513759471798","0.0"
"0.7194369536323406","4","3","078_HFO","HFO","0.5008265892442181","0.7777312591519435","0.8468914138651252","0.9772122757977919","1.0","0.8409787","0.3903863184558471","0.6417284969185716","0.5140036137684746","0.4891452250340176","0.692096247448038","0.5697269083465946"
"0.718636276259464","4","4","184_VHGO","VHGO","0.0","0.8465795512769855","0.9525966893436415","0.9839176762974079","0.0","0.9220606499999999","0.6939067917215939","0.8396730779812078","0.47062659806240054","0.4983679762463454","0.7273555257606866","0.0"
"0.7161139030533044","4","4","168_SRGO","SRGO","0.4768570286829898","0.830721503634452","0.7975569451921328","0.9042682925708986","0.0","0.47771035","0.8848355748695748","0.8947025906289611","0.0","0.6711624236735744","0.951545306494037","0.0"
"0.7130264113458021","4","4","028_HFO","HFO","0.5007493117014977","0.8871212483711299","0.9065158857714961","0.9795490593946122","0.0","0.88864425","0.4476262882902604","0.7743306806704253","0.0","0.2818462432463595","0.9120022313943328","0.0"
"0.7128623547204419","4","4","097_HFO","HFO","0.0","0.8874218929977045","0.899050367432032","0.9788080940641805","0.0","0.4855594","0.32263417433247976","0.7421331409244899","0.5218434999447873","0.47634834060118336","0.8962315782553966","0.4356797444501629"
"0.710267125689728","4","4","083_UATO","UATO","0.0","0.9385408039802501","0.808784646011834","0.9421953392226681","0.0","0.9164457","0.7092455438910806","0.7607826557630966","0.0","0.45183601422283276","0.6268139212284566","0.5492931051552171"
"0.7071386907185915","4","4","096B_UDAE","UDAE","0.0","0.834535167732199","0.840192583658984","1.0","0.0","0.4761377","0.47478037697462094","0.9602776529621637","0.3645404604507149","0.49766309462511765","0.9742502834616972","0.0"
"0.7057352347889596","4","4","070_CGO","CGO","0.2679293540023131","0.9013918584170563","0.8664637643329686","0.7582362193235129","0.0","0.3206705","0.4254252742042388","0.7525741573236019","0.3137015931517083","0.7097329323857445","0.8428908683206243","0.558012029058593"
"0.6996545256889769","4","4","183_VHGOa","VHGOa","0.0","0.9114255375602353","0.7940421275033738","0.9747468234434888","0.0","0.4561691","0.9053802300512035","0.8766069855233672","0.515097638755496","0.0","0.8092247397991298","0.0"
